episode,reward, average reward, 100-episode running mean reward
370,86.9561,-97.0943,-24.2996
371,108.5503,-96.54,-22.9048
372,76.5416,-96.0747,-21.864
373,-7.0922,-95.8362,-21.7422
374,36.896,-95.4813,-21.2504
375,-13.4472,-95.2625,-21.2788
376,47.3631,-94.8832,-19.8883
377,37.5823,-94.5318,-18.9203
378,17.1441,-94.2364,-14.4231
379,58.0909,-93.8344,-12.3998
380,161.8937,-93.1615,-11.5254
381,-8.3706,-92.9389,-10.5213
382,58.6472,-92.5421,-9.8892
383,88.6231,-92.0691,-8.9888
384,64.9502,-91.6602,-8.0426
385,123.2475,-91.102,-7.0374
386,162.4695,-90.4451,-5.1842
387,189.3922,-89.722,-2.9398
388,101.9124,-89.2281,-2.1028
389,18.3562,-88.9515,-1.3617
390,46.8111,-88.6034,-0.9134
391,36.2924,-88.284,-0.2466
392,24.707,-87.9957,1.7697
393,47.9689,-87.6498,4.1671
394,128.7255,-87.1006,5.6338
395,37.3262,-86.7856,5.6911
396,-82.6882,-86.7752,7.1819
397,77.4774,-86.3615,9.3633
398,45.0461,-86.0313,12.4033
399,94.5282,-85.5788,14.9856
400,84.5132,-85.1536,16.2299
401,137.8874,-84.5974,17.4588
402,135.3996,-84.0501,18.6544
403,125.819,-83.5293,20.5726
404,145.3709,-82.9627,21.6658
405,64.4003,-82.5989,22.1501
406,21.731,-82.3419,22.3074
407,10.0257,-82.115,26.0111
408,120.2058,-81.6191,29.7621
409,30.848,-81.3441,30.5834
410,8.2138,-81.1257,30.0622
411,80.1483,-80.7333,31.4202
412,45.6838,-80.4264,31.7772
413,-55.17,-80.3653,30.9772
414,-46.5433,-80.2836,30.8334
415,29.9265,-80.018,32.1868
416,17.0776,-79.7846,33.5148
417,80.464,-79.4003,34.3121
418,88.5765,-78.9985,38.7571
419,102.9019,-78.5643,41.6934
420,131.5691,-78.064,42.869
421,122.4404,-77.5878,43.9152
422,152.3656,-77.0429,48.2099
423,109.2716,-76.6024,49.7358
424,130.7254,-76.1134,51.9302
425,97.8758,-75.704,52.8196
426,25.9932,-75.4653,52.0006
427,97.754,-75.0596,52.9329
428,35.5178,-74.8013,53.4941
429,34.2141,-74.5472,52.587
430,13.4135,-74.3426,52.6659
431,22.1737,-74.1187,52.7856
432,25.6284,-73.8878,52.8484
433,153.2645,-73.3632,53.6224
434,103.0788,-72.9566,54.989
435,162.3587,-72.4157,55.7361
436,112.9789,-71.9904,56.2376
437,150.2685,-71.4818,58.325
