episode,reward, average reward, 100-episode running mean reward
254,-69.7744,-124.6306,-96.7737
255,-63.639,-124.3915,-96.3729
256,-166.1691,-124.5546,-97.1256
257,-69.1949,-124.3392,-95.0615
258,-71.7729,-124.1355,-95.0262
259,-40.9129,-123.8142,-94.5908
260,-0.051,-123.3382,-92.0059
261,-68.1843,-123.1268,-91.5545
262,-67.9217,-122.9161,-90.3188
263,-104.3029,-122.8454,-88.6958
264,-265.1307,-123.3843,-90.2808
265,-72.5961,-123.1927,-87.7956
266,-70.1079,-122.9931,-87.4191
267,-77.0606,-122.8211,-87.3857
268,-211.1878,-123.1508,-88.2984
269,-139.6564,-123.2122,-88.901
270,-80.9987,-123.0558,-88.8585
271,-177.1867,-123.2556,-89.2829
272,-15.9047,-122.8609,-89.3322
273,-35.1723,-122.5397,-87.8924
274,-28.4211,-122.1962,-87.1949
275,-50.4947,-121.9354,-86.5973
276,-37.6392,-121.63,-85.7929
277,6.6902,-121.1668,-85.0395
278,-26.9755,-120.828,-83.7764
279,-231.9242,-121.2262,-84.3561
280,15.8833,-120.7365,-84.2132
281,-25.9211,-120.3991,-82.9397
282,-109.8048,-120.3615,-83.6532
283,50.5774,-119.7575,-82.7416
284,-211.3309,-120.0799,-83.9003
285,-198.0694,-120.3536,-80.0311
286,-176.8968,-120.5513,-81.4598
287,-71.2238,-120.3794,-81.8561
288,-47.3292,-120.1257,-81.0219
289,25.9399,-119.6203,-79.692
290,-13.7143,-119.2551,-78.4838
291,-214.3728,-119.582,-80.0721
292,58.0122,-118.9738,-78.7491
293,-251.1999,-119.4251,-80.673
294,-75.0033,-119.274,-80.7544
295,-302.2568,-119.8943,-82.479
296,32.7779,-119.3785,-81.0057
297,-385.0194,-120.2729,-82.2013
298,-417.794,-121.2713,-85.5117
299,-318.9989,-121.9326,-88.7254
300,-243.1269,-122.3366,-90.6264
301,-50.7906,-122.0989,-90.6488
302,-48.272,-121.8544,-90.4476
303,-52.1177,-121.6243,-90.9386
304,-163.8293,-121.7631,-90.6829
305,-130.8021,-121.7927,-91.3072
306,39.4367,-121.2658,-85.3429
307,6.045,-120.8511,-84.2826
308,-126.606,-120.8698,-83.2547
309,-93.8438,-120.7824,-83.8864
310,-182.6294,-120.9819,-85.3205
311,-23.4251,-120.6682,-84.9808
312,-63.0438,-120.4835,-85.4947
313,75.5948,-119.857,-84.1312
314,-9.7467,-119.5064,-83.7182
315,35.7031,-119.0136,-82.802
316,48.8706,-118.4824,-82.1124
317,26.3468,-118.0255,-81.4007
318,-173.5234,-118.2,-81.6818
319,-4.8472,-117.8447,-81.2929
320,-48.6043,-117.6283,-81.3603
321,-15.34,-117.3096,-80.5075
322,15.219,-116.8981,-78.7596
323,51.4009,-116.377,-78.3234
324,-39.4848,-116.1397,-76.2132
325,21.1796,-115.7172,-76.0951
326,-52.6776,-115.5238,-75.9609
327,-24.1978,-115.2445,-75.6719
328,-23.9753,-114.9662,-75.4119
329,-7.4514,-114.6395,-74.1309
330,81.6712,-114.0446,-73.1578
331,53.9275,-113.5371,-71.0336
332,37.2344,-113.083,-69.9299
333,5.6909,-112.7263,-69.3302
