episode,reward, average reward, 100-episode running mean reward
264,-313.0315,-111.8902,-99.8213
265,-54.2463,-111.6726,-99.6486
266,70.6501,-110.9872,-97.442
267,-283.8586,-111.6347,-99.4487
268,-49.6535,-111.4034,-99.5735
269,-1.4175,-110.9945,-98.5352
270,-82.8816,-110.8904,-97.2976
271,44.8557,-110.3157,-95.9177
272,-60.3911,-110.1322,-95.7779
273,0.8384,-109.7257,-94.5433
274,-37.1205,-109.4607,-94.09
275,37.5093,-108.9263,-93.7654
276,8.0216,-108.5025,-92.8096
277,-35.8947,-108.2404,-92.0054
278,-22.6549,-107.9325,-91.9238
279,-53.035,-107.7358,-91.9899
280,-84.6091,-107.6532,-90.8928
281,80.1024,-106.985,-88.2852
282,-420.5825,-108.0971,-89.4396
283,-111.4761,-108.109,-89.8918
284,-60.9368,-107.9429,-89.8152
285,-111.7772,-107.9564,-90.2519
286,-184.9859,-108.2257,-90.379
287,-207.0735,-108.5701,-88.7141
288,10.3493,-108.1572,-88.2914
289,98.8286,-107.441,-87.0788
290,-210.8871,-107.7977,-88.8168
291,-157.6948,-107.9692,-89.2405
292,-149.2673,-108.1106,-90.1068
293,48.9276,-107.5746,-89.4315
294,-183.0328,-107.8313,-88.8418
295,-2.5751,-107.4745,-87.8666
296,81.9109,-106.8347,-86.4864
297,-35.7165,-106.5952,-84.2339
298,2.7045,-106.2284,-80.5462
299,8.1879,-105.8458,-80.8519
300,76.1883,-105.239,-79.3638
301,-120.706,-105.2904,-77.2776
302,-104.6529,-105.2883,-76.7835
303,-246.4424,-105.7541,-79.5358
304,82.3701,-105.1353,-78.7784
305,23.6868,-104.7129,-76.9994
306,-120.8034,-104.7655,-78.7249
307,-149.3511,-104.9107,-79.9902
308,-78.7992,-104.826,-80.4671
309,-331.3882,-105.5592,-83.2618
310,-132.8434,-105.6472,-82.8812
311,-225.3991,-106.0322,-83.25
312,-138.5857,-106.1366,-83.4032
313,-203.9637,-106.4491,-84.5877
314,-109.9646,-106.4603,-85.1816
315,79.8414,-105.8689,-82.3659
316,138.0653,-105.0969,-79.3599
317,49.724,-104.6086,-75.8245
318,-79.1103,-104.5284,-76.8575
319,-21.2615,-104.2673,-75.7299
320,-44.6315,-104.081,-75.7485
321,-5.0799,-103.7726,-73.8127
322,-10.8605,-103.484,-73.5017
323,115.2903,-102.8067,-67.6592
324,-46.3783,-102.6325,-65.8367
325,-114.3286,-102.6685,-66.5092
326,-58.5806,-102.5333,-67.1156
327,92.5491,-101.9367,-65.5434
328,58.0446,-101.449,-64.8779
329,-20.1842,-101.202,-64.5485
330,7.3938,-100.8729,-64.3564
331,-34.3193,-100.6718,-64.6428
332,22.6352,-100.3004,-62.3392
333,-38.2799,-100.1142,-59.5826
334,-87.1238,-100.0753,-58.3431
335,9.6919,-99.7476,-58.0354
336,-57.8628,-99.6229,-58.3176
337,5.8825,-99.3099,-57.5563
338,-16.4909,-99.0648,-57.3078
339,13.8554,-98.7317,-56.6933
340,-93.3746,-98.716,-56.7693
341,-52.8845,-98.5816,-56.5081
342,-118.8337,-98.6408,-57.6785
343,-58.5316,-98.5239,-57.3389
344,-29.6036,-98.3235,-56.8912
345,-47.6017,-98.1765,-58.7868
346,62.8676,-97.711,-56.1343
347,-7.7954,-97.4519,-55.2563
348,155.0609,-96.7263,-53.6843
349,117.3263,-96.113,-51.7762
350,23.2811,-95.7719,-51.4671
351,67.8938,-95.3056,-50.6374
352,39.5675,-94.9224,-49.694
353,47.2723,-94.5196,-49.1687
354,-221.529,-94.8784,-50.4251
355,37.8156,-94.5046,-51.4954
356,-10.5095,-94.2686,-50.7981
357,-134.9356,-94.3826,-52.9896
358,-40.1248,-94.231,-54.1988
359,143.3702,-93.5692,-51.6036
360,-101.6051,-93.5915,-51.8394
361,107.5137,-93.0344,-45.6501
362,159.8567,-92.3358,-43.3293
363,-32.3726,-92.1706,-42.3196
364,31.9034,-91.8298,-38.8703
365,-33.1435,-91.669,-38.6593
366,-1.1866,-91.4218,-39.3776
367,-23.9849,-91.238,-36.7789
368,16.1971,-90.9461,-36.1204
369,-43.6519,-90.8179,-36.5427
370,-132.3372,-90.9301,-37.0373
371,7.8054,-90.664,-37.4078
372,54.9643,-90.2725,-36.2542
373,12.5542,-89.9968,-36.1371
374,136.6297,-89.3909,-34.3996
375,29.0304,-89.0751,-34.4844
376,50.2707,-88.7045,-34.0619
377,146.4949,-88.0806,-32.238
378,13.1383,-87.8128,-31.88
379,-16.0661,-87.6235,-31.5103
380,105.3297,-87.1158,-29.611
381,12.49,-86.8543,-30.2871
382,17.0985,-86.5822,-25.9103
383,123.3763,-86.034,-23.5617
384,9.0902,-85.7863,-22.8615
385,-68.7026,-85.7419,-22.4307
386,38.2685,-85.4206,-20.1982
387,-14.3003,-85.2369,-18.2705
388,-53.4526,-85.1549,-18.9085
389,3.7445,-84.9264,-19.8593
390,-65.1652,-84.8757,-18.4021
391,-4.5017,-84.6702,-16.8702
392,-28.794,-84.5276,-15.6654
393,43.3435,-84.2023,-15.7213
394,15.4165,-83.9494,-13.7368
395,-8.0329,-83.7572,-13.7914
396,-11.1161,-83.5738,-14.7216
397,38.5414,-83.2662,-13.979
398,8.0785,-83.0367,-13.9253
399,67.4298,-82.6596,-13.3329
400,-125.4948,-82.7667,-15.3497
401,89.2694,-82.3377,-13.25
402,19.4267,-82.0845,-12.0092
403,33.4803,-81.7978,-9.2099
404,-8.0047,-81.6151,-10.1137
405,-11.4159,-81.4418,-10.4647
406,-186.9031,-81.7015,-11.1257
407,5.6019,-81.487,-9.5762
408,2.1354,-81.2821,-8.7668
409,-29.2158,-81.1548,-5.7451
410,154.5528,-80.5799,-2.8712
411,-48.017,-80.5006,-1.0973
412,141.0209,-79.963,1.6987
413,15.2811,-79.7323,3.8912
414,-45.9274,-79.6507,4.5316
415,35.7056,-79.3727,4.0902
416,-89.6283,-79.3974,1.8133
417,11.6761,-79.179,1.4328
418,17.8436,-78.9469,2.4023
419,9.1452,-78.7366,2.7064
420,-70.7034,-78.7175,2.4457
421,40.5757,-78.4341,2.9022
422,95.1641,-78.0228,3.9625
423,72.0825,-77.6679,3.5304
424,-17.2032,-77.5253,3.8221
425,-5.9918,-77.357,4.9055
426,18.7604,-77.1314,5.6789
427,12.062,-76.9225,4.8741
428,-123.3818,-77.031,3.0598
429,177.2218,-76.4384,5.0338
430,-212.331,-76.7544,2.8366
431,6.4564,-76.5613,3.2444
432,-101.7696,-76.6197,2.0003
433,251.526,-75.8618,4.8984
434,-5.0419,-75.6987,5.7192
435,87.998,-75.3223,6.5022
436,-14.9782,-75.1839,6.9311
437,-8.4172,-75.0312,6.7881
438,-38.2502,-74.9472,6.5705
439,85.2098,-74.5824,7.284
440,-6.0736,-74.4267,8.1571
441,86.879,-74.0609,9.5547
442,3.02,-73.8865,10.7732
443,9.5858,-73.6981,11.4544
444,90.9469,-73.3272,12.6599
445,110.9905,-72.913,14.2458
446,195.6413,-72.3109,15.5736
447,1.235,-72.1464,15.6639
448,160.9405,-71.6261,15.7227
449,-8.4901,-71.4855,14.4645
450,92.3357,-71.1214,15.155
451,38.8861,-70.8775,14.865
452,11.5262,-70.6952,14.5846
453,33.8034,-70.4645,14.4499
454,149.0968,-69.9809,18.1561
455,-54.51,-69.9469,17.2329
456,260.2099,-69.2229,19.9401
457,80.545,-68.8952,22.0949
458,-107.4437,-68.9793,21.4217
459,58.5435,-68.7015,20.5734
460,118.4508,-68.2946,22.774
461,98.3157,-67.9332,22.682
462,215.1073,-67.3206,23.2345
463,-1.1639,-67.1777,23.5466
464,61.7919,-66.8998,23.8455
465,106.1175,-66.5277,25.2381
466,-52.6916,-66.498,24.723
467,-115.0584,-66.602,23.8123
468,-15.2012,-66.4921,23.4983
469,66.5661,-66.2084,24.6005
470,-47.1109,-66.1678,25.4528
471,23.2806,-65.9779,25.6075
472,68.9285,-65.6921,25.7472
473,-6.0812,-65.566,25.5608
474,-54.6813,-65.5431,23.6477
475,100.1305,-65.1943,24.3587
476,66.2534,-64.9181,24.5185
477,25.6877,-64.7282,23.3104
478,70.7684,-64.4447,23.8867
479,-29.6942,-64.3722,23.7505
480,116.6873,-63.995,23.864
481,-66.068,-63.9993,23.0785
482,108.705,-63.641,23.9945
483,2.6193,-63.5038,22.787
484,75.8954,-63.2158,23.455
485,-62.7187,-63.2147,23.5148
486,-46.7224,-63.1808,22.6649
487,-71.0732,-63.197,22.0972
488,58.2176,-62.9482,23.2139
489,7.8621,-62.8034,23.2551
490,86.3919,-62.4989,24.7707
491,128.5984,-62.1097,26.1017
492,112.7043,-61.7544,27.5166
