episode,reward, average reward, 100-episode running mean reward
114,-443.28502326093417,-169.2024933643959,-168.77661903194698
115,-122.63375225317515,-168.79754778951573,-169.1711522658391
116,-218.21848587882286,-169.22359035925115,-170.33180181621236
117,-4.87596050586572,-167.81890976221365,-169.19250251370053
118,-81.49698950806172,-167.08736806514457,-168.90414943949955
119,-206.48681592643192,-167.41845586229826,-169.51916007546657
120,-160.15247317271835,-167.3579060065517,-168.88234398294918
121,-57.91299189647681,-166.45340258415436,-166.97522422409622
122,-128.24375282821154,-166.1402087336958,-165.555281771017
123,-56.82004142133326,-165.2514268856278,-162.05248427648962
124,-243.10927030350936,-165.879312719643,-162.742839623086
125,-272.65204901818026,-166.73349461003127,-163.29490591233463
126,-77.2869300667174,-166.02360124063992,-160.75249516520915
127,-116.00640791983399,-165.62976507275957,-158.4793373593357
128,-264.24134674356515,-166.40016805456276,-159.96302837488133
129,-49.338036462511226,-165.49270967012825,-155.9035840378253
130,-240.29451643221907,-166.06810818368282,-156.81366919311765
131,-89.10142402072165,-165.48057624350756,-156.3626654519649
132,-20.6988664693247,-164.38374510885464,-154.40703553001677
133,-137.84043980183776,-164.18417138474172,-155.152787108803
134,-177.0507520729809,-164.2801906436092,-155.8655936887551
135,-244.9270623626597,-164.87757487856513,-154.1946509911778
136,-47.37431746496673,-164.01358033875925,-152.46976448782195
137,-104.60817342236378,-163.57996422988046,-152.3416138644283
138,-288.87234425860504,-164.48788002719004,-153.24974744956356
139,-206.79050024672904,-164.79221542445293,-151.27333112095886
140,-170.14847679297594,-164.83047443422808,-150.30862165737116
141,-149.29428339607347,-164.72028868218445,-149.82939391555067
142,-136.53564284972754,-164.5218052608291,-149.89827451469412
143,-56.60966448147008,-163.76717490572867,-146.4117083994837
144,-144.01649150603055,-163.63001738211966,-147.35473647370839
145,-96.55489702556518,-163.1674303451779,-146.83512008024408
146,-114.1859905109253,-162.83194103124467,-146.4145423242762
147,-318.68462844120063,-163.8921633945777,-149.2770605016709
148,-126.67226263320629,-163.6406775786225,-149.19948304292092
149,-92.40837692268465,-163.16260844670347,-149.95727233769992
150,-68.76197229941887,-162.53327087238821,-150.20199586374233
151,-230.95597447730384,-162.98640135983797,-151.16278194064026
152,-151.64932051125578,-162.91181530162362,-151.21240392961766
153,-219.14504107928556,-163.27935272500704,-152.19157132024003
154,-119.33575305777624,-162.99400467521983,-152.60306086962382
155,-74.7921327495299,-162.42496034021536,-152.3420683772495
156,-14.458668535476733,-161.4764584696722,-151.73534441716288
157,-74.27158686305552,-160.92101342759182,-151.73073682560621
158,-34.41436323687361,-160.12033842638473,-149.58832630388417
159,-45.90533517522408,-159.40200507260386,-148.50204217989526
160,-150.8934735145957,-159.3488267503663,-149.24295796953217
161,-62.91547286210178,-158.7498618193833,-148.0992480951698
162,-85.43547918412483,-158.29730390188172,-148.24705296659897
163,-180.93386685445313,-158.43617852122264,-147.15745826901272
164,-122.01627274165874,-158.2141059250058,-146.64096834261022
165,-52.110035045992376,-157.57105094998144,-146.324006038731
166,-165.42690780725837,-157.61837538888074,-147.2578658677715
167,-109.55081736358879,-157.3305457001065,-145.50868865961283
168,-98.57958112713109,-156.98083757764832,-144.97474035747825
169,-150.0644350684255,-156.93991211901388,-144.65815324022202
170,-56.72641421281741,-156.35042095485977,-143.46425691132927
171,-149.39303895571192,-156.3097345104203,-141.87467438166402
172,-160.69763094909484,-156.33524553622655,-142.88536059044858
173,-74.15635316008462,-155.8602230369425,-141.51309254661118
174,-164.8160774860537,-155.91169346481095,-141.9336941581932
175,-80.07100626849154,-155.4783181094034,-141.02183326161958
176,-108.76769924476116,-155.2129168658543,-141.83002496424976
177,-81.63568473915907,-154.79722628886734,-140.53101565190647
178,-38.79896612674264,-154.145550669979,-140.2329289182565
179,-86.47749484976333,-153.76751683858114,-138.01619811617152
180,-127.76912747130145,-153.62308134209627,-137.41717543782062
181,-134.38386363979205,-153.51678732164154,-137.89428400851068
182,-155.21545557596568,-153.52612066369824,-138.65395750263576
183,-99.12135670518045,-153.2288268715752,-139.08850676378694
184,-88.65539144581996,-152.8778842877396,-138.4922413889591
185,-98.41856374450835,-152.5835095821005,-136.99718482842502
186,-186.83836623787002,-152.76767547809925,-136.44146701217878
187,-192.14129972461276,-152.97822961845492,-135.50980669901327
188,-86.57281614936096,-152.62500933404485,-134.95292475052332
189,-127.17060391175679,-152.49032994027613,-133.7057629478548
190,-85.77816066272533,-152.13921325986797,-131.55252971053787
191,-93.3815066491143,-151.83158128808392,-129.7805809081331
192,-58.53398684140441,-151.3456563170075,-128.04001107503643
193,-90.872390889914,-151.03232333551995,-126.04599763354419
194,-22.367992728080097,-150.36910513651253,-124.58313410222144
195,-190.39840220454863,-150.57438358301528,-125.72114276985467
196,-149.33573024312412,-150.56806392311788,-125.98855783593243
197,7.1654943386455034,-149.76738596239827,-125.76865330732855
198,-104.30487740338128,-149.53777733331233,-126.62788555863058
199,-97.58709291554804,-149.27671861764517,-125.33289798322117
200,-38.61335529765994,-148.72340180104524,-124.98611770213381
201,-79.41067364292947,-148.3785623574725,-125.84312543613333
202,-107.42362514549733,-148.17581514355186,-124.16112524345564
203,-37.7619816670323,-147.6319046338153,-123.0658955341628
204,-29.221100571611643,-147.0514595158633,-120.56232358061855
205,-72.11675041530577,-146.68592434951915,-119.86310104095246
206,-26.998935428914223,-146.10491954893368,-119.36024966214941
207,-5.41016389965921,-145.42523473903378,-117.58383189318069
208,-11.301032544614486,-144.78040684386835,-115.80450515008319
209,-205.48481405886463,-145.070858553031,-117.01445107226702
210,-33.60195524434427,-144.54005425156106,-117.63280105766961
211,88.74481512474019,-143.43443875688664,-115.74228535841756
212,-54.52445608732909,-143.01505204618118,-116.58534372950837
213,17.55916516104878,-142.261182481828,-114.55832648349164
214,-98.1860756615034,-142.05522403874235,-111.10733700749735
215,-91.21280971816888,-141.8187476930653,-110.79312758214728
216,-65.17606339326008,-141.46392045093657,-109.26270335729164
217,-34.70425789788152,-140.97194043917133,-109.56098633121181
218,-65.86460171047665,-140.6274113624342,-109.40466245323596
219,-87.14941513626925,-140.3832195988444,-108.21128844533433
220,82.78225222146708,-139.36883109057027,-105.78194119139248
221,-48.44660685859593,-138.95741831124008,-105.68727734101367
222,-145.90718521212608,-138.98872356755038,-105.86391166485282
223,-36.165693689076946,-138.52763374746752,-105.65736818753027
224,-177.33185255590428,-138.70086686714802,-104.99959401005421
225,-132.26715223190652,-138.67227257988029,-103.59574504219148
226,-35.74405125986188,-138.2168379722696,-103.1803162541229
227,-352.14166295976156,-139.15923808234666,-105.54166880452216
228,-4.561756158106862,-138.5688982493456,-102.94487289866761
229,20.707234941474585,-137.87336928344683,-102.24442018462776
230,-27.333022750694145,-137.39275908113052,-100.11480524781251
231,-7.014676141905416,-136.8283517956793,-99.29393776902434
232,-365.439333631409,-137.81374395876435,-102.74134244064517
233,-30.68215639810893,-137.35395173747398,-101.66975960660788
234,27.926397144909632,-136.64762546019884,-99.61998811442898
235,-15.008955385374529,-136.13001409817832,-97.32080704465612
236,-59.36238106144733,-135.80472751751418,-97.44068768062093
237,65.25899372198626,-134.95635738570198,-95.74201600917745
238,-89.92480954606872,-134.7671492015018,-93.75254066205207
239,32.16048974696426,-134.06870719753334,-91.36303076211514
240,-74.29088469968497,-133.81963293712562,-90.40445484118223
241,-53.99353642039542,-133.48840432087363,-89.45144737142544
242,-22.404664674445826,-133.02938060332642,-88.31013758967264
243,-33.302565585322654,-132.61898218761448,-88.07706660071116
244,157.0783951103716,-131.431697854426,-85.06611773454713
245,82.61008014475603,-130.55805794422525,-83.27446796284394
246,-53.98488340186081,-130.24678487697986,-82.6724568917533
247,-46.47880024019131,-129.90764323877426,-79.95039860974317
248,66.99908454461462,-129.1136644977122,-78.01368513796497
249,2.430097920940298,-128.58537629522763,-77.06530038952872
250,41.18032278822962,-127.90631349889381,-75.96587743865223
251,-14.286509400408942,-127.45364495666877,-73.7991827878833
252,-94.91619937365722,-127.32452810911713,-73.2318515765073
253,56.63485578336004,-126.59741591981881,-70.47405260788085
254,10.913674767640423,-126.0560336730178,-69.17155832962668
255,9.446865676430566,-125.52464975400034,-68.32916834536708
256,227.87273769809656,-124.14419120926559,-65.90585428303135
257,-10.155896915701833,-123.70065699022449,-65.2646973835578
258,63.997304174185366,-122.97314551284306,-64.28058070944722
259,-217.45480324576658,-123.33793955814392,-65.99607539015264
260,-81.41216970433175,-123.17668659716772,-65.30126235205
261,-5.39259886536245,-122.72540656754393,-64.72603361208262
262,6.046881770052366,-122.23390928381266,-63.81121000254085
263,-19.15559335554356,-121.84197652362913,-62.19342726755174
264,-38.95486539830346,-121.52801019360895,-61.362813194118196
265,1.1998581120238185,-121.06488616226694,-60.829714262538026
266,-297.109035678356,-121.72670627322968,-62.146535541249
267,24.875771905433655,-121.17763332124967,-60.80226964855878
268,-82.9486976011637,-121.03498803871203,-60.6459608132991
269,-29.766813399306187,-120.69570114414175,-59.442984596607914
270,-21.55647937132476,-120.32851884127948,-59.09128524819299
271,6.703945657567874,-119.8597643597339,-57.5303154020602
272,-61.3428452286308,-119.64462862763428,-56.53676754485556
273,-6.755729692339912,-119.23111617732185,-55.862761310178094
274,-3.344264633596845,-118.80817146365862,-54.24804318165353
275,-10.244967477022417,-118.4133961764345,-53.549782793738835
276,-255.89687967374687,-118.91152473983055,-55.0210745980287
277,-17.963597419592055,-118.54709178921597,-54.38435372483302
278,-56.41736984938975,-118.32360358079933,-54.5605377620595
279,-1.1450380122401924,-117.90360872213067,-53.70721319368427
280,-43.156247128747395,-117.63665385929716,-52.86108439025872
281,33.40306838165639,-117.09914595096635,-51.183215070044234
282,-252.71328637740677,-117.58004715815231,-52.15819337805865
283,-49.69812750843671,-117.34018171769394,-51.663961086091206
284,-104.58741013312178,-117.29527759239618,-51.82328127296422
285,-260.52025208228144,-117.79782136253611,-53.44429815634196
286,-270.9803527033746,-118.3334246189726,-54.285718020997
287,-4.381835320781655,-117.93638075382212,-52.40812337695869
288,-21.861734671576837,-117.6027882327032,-51.76101256218085
289,-21.466229308996652,-117.27013577967999,-50.70396881615326
290,-55.170941144030806,-117.05600062576396,-50.3978966209663
291,-62.78465611549033,-116.86950116009291,-50.09192811563006
292,-70.41531324872201,-116.71041147546494,-50.210741379703244
293,-24.611959889556758,-116.3960822891649,-49.54813706969967
294,-64.65131207300529,-116.22007966938206,-49.97097026314892
295,-38.35448785673984,-115.95612851069511,-48.450531119670835
296,-73.60153264826286,-115.81303865980853,-47.69318914372222
297,8.176841924561124,-115.39556431440663,-47.683075667863065
298,-87.79087855295596,-115.30293114071047,-47.517935679358814
299,-38.766648045043155,-115.04695694975506,-46.92973123065378
300,-37.250663649405105,-114.78763597208723,-46.91610431417123
301,-91.06020787261978,-114.70880730730492,-47.03259965646812
302,-39.93947030527121,-114.46122672120549,-46.357758108065866
303,-39.09502687533171,-114.21249338838082,-46.37108856014885
304,-25.011164640820834,-113.91906796486913,-46.32898920084094
305,-18.561983516911422,-113.60642178635123,-45.793441531857
306,-13.254302720744079,-113.27847368482963,-45.65599520477529
307,-38.3139911657257,-113.0342897026827,-45.985033477435955
308,-33.526007330301475,-112.77614592874642,-46.207283225292834
309,-42.44173772846134,-112.54852648473253,-44.5768524619888
310,-54.13422212708106,-112.36009324486915,-44.78217513081616
311,-14.995897160710717,-112.0470250902577,-45.81958225367068
312,4.621156414349714,-111.67308861107627,-45.22812612865389
313,-11.5891931227455,-111.35333175648098,-45.51960971149183
314,-38.75881417232987,-111.12213902532125,-44.925337096600096
315,-29.53685596426444,-110.86313812671472,-44.30857755906106
316,-11.489970792283376,-110.54866607818806,-43.771716633051284
317,-112.05039615781557,-110.55340339705121,-44.54517801565063
318,-54.329648461897094,-110.37659913624887,-44.429828483164826
319,-31.76770030349399,-110.13017625589539,-43.876011334837074
320,-28.172011126796058,-109.87405698986694,-44.9855539683197
321,-56.30586212342319,-109.70717787813348,-45.06414652096798
322,-66.49833328075809,-109.57298891975654,-44.2700580016543
323,-58.14485441099994,-109.41376868907929,-44.48984960887353
324,-5.675187004521761,-109.0935878814109,-42.773282953359704
325,-35.16094774740856,-108.86610283484472,-41.80222090851473
326,-142.22482888273845,-108.96843021535973,-42.86702868474349
327,-89.07570856498802,-108.90759620419652,-40.23636914079576
328,-73.10266339523953,-108.79843482368139,-40.92177821316708
329,-38.286984645803194,-108.58411430642342,-41.51172040903986
330,-43.00409850606096,-108.38538698581625,-41.668431166593535
331,4.459796137705515,-108.04446498242194,-41.553686443797424
332,-14.371000865355835,-107.76231599411751,-38.043003116136894
333,-38.19653765581308,-107.55340975286136,-38.118146928713934
334,-52.20021734334356,-107.38768163187477,-38.91941307359646
335,-18.99727112902735,-107.12382966022447,-38.959296231032994
336,-24.107799454671234,-106.87675814175557,-38.606750414965234
337,-15.854776931519844,-106.60666324202192,-39.41788812150029
338,-56.89658060655035,-106.45959199162114,-39.087605832105105
339,6.752849706561966,-106.12563198661174,-39.34168223250913
340,-25.7054921067904,-105.8891021634358,-38.855828306580186
341,-55.63764715751639,-105.74173719274395,-38.872269413951386
342,-52.68519158222135,-105.58660109446757,-39.175074683029145
343,-33.72153089077051,-105.37708193935474,-39.17926433608363
344,-77.56913679235367,-105.29624488950881,-41.525739655110876
345,-0.2502460912907094,-104.99176373357194,-42.35434291747136
346,-23.46434680689768,-104.7561353609515,-42.049137551521724
347,-48.62003435936672,-104.59435985374232,-42.07054989271347
348,-47.06852493194381,-104.42905573040383,-43.21122598747907
349,3.606918084329715,-104.11949706617823,-43.19945778584516
350,-58.46249180365464,-103.98904847971389,-44.195885931764
351,28.62238698140049,-103.61123812227481,-43.7667969679459
352,-53.126458202880436,-103.46781545204925,-43.34889955623814
353,-91.5309037935077,-103.43399983828567,-44.83055715200681
354,-12.631036525254103,-103.17749429220365,-45.06600426493576
355,14.210460326792132,-102.84682399750227,-45.01836831843215
356,-95.43459801295936,-102.82600313799512,-48.2514416755427
357,-17.196403152804557,-102.5861443145072,-48.32184673791373
358,0.7718823162967954,-102.29743474291277,-48.95410095649261
359,-1.0074809720048525,-102.01529002488796,-46.78962773375499
360,-1.4737036165586814,-101.73600784042036,-45.99024307287726
361,-29.421049344463007,-101.53568939583324,-46.23052757766827
362,-23.580887461102765,-101.32034463910745,-46.52680526997983
363,-29.690898091537992,-101.12301834007835,-46.63215831733978
364,-47.57283577267621,-100.97590245390417,-46.7183380210835
365,-39.627436904085414,-100.80782446609642,-47.1266109712446
366,-25.956217916746823,-100.60331187989604,-44.41508279362851
367,-6.271843174524496,-100.34627790522198,-44.72655894442809
368,-60.50548829628981,-100.23801488998033,-44.50212685137934
369,-27.824666425063036,-100.04177275321904,-44.482705381636904
370,30.9180728694512,-99.68782722450912,-43.95795985922914
371,37.40705285186121,-99.3182992458666,-43.65092878728621
372,-17.39991050869644,-99.09808852345486,-43.211499440086875
373,27.070128928019017,-98.75983592975118,-42.87324085388329
374,-36.07218437451292,-98.59222188815963,-43.20052005129246
375,56.5963394771239,-98.17838572451888,-42.53210698175099
376,-111.09826109249286,-98.2127470951784,-41.084120795938446
377,-171.7624595564942,-98.40783917067257,-42.622109417307456
378,78.26592065399961,-97.94044827166552,-41.27527651227358
379,-29.80930644603605,-97.76068272595147,-41.561919196611534
380,-26.061336909526766,-97.57200023696086,-41.39097009441932
381,-32.168906711383016,-97.40033857416407,-42.04668984534973
382,-21.237662273112193,-97.2009598403917,-39.731933604306775
383,107.15688402189943,-96.66738844649537,-38.163383489003415
384,-42.45994474001367,-96.52622322850975,-37.542108835072334
385,-30.894441748912726,-96.35575106882247,-35.24585073173864
386,-49.20455746395586,-96.23359771751453,-33.02809277934446
387,26.76201564575902,-95.9157795951288,-32.71665426967905
388,-2.971381303638135,-95.67623217685177,-32.52775073599966
389,0.04228921198918911,-95.43016913986247,-32.3126655507898
